iter	Passed	Remaining
0	166	166031
1	171	85538
2	182	60772
3	208	51803
4	216	43002
5	221	36689
6	225	32002
7	234	29077
8	250	27558
9	258	25593
10	265	23832
11	272	22461
12	279	21185
13	285	20090
14	290	19052
15	293	18079
16	299	17337
17	306	16735
18	315	16315
19	320	15724
20	325	15170
21	330	14681
22	335	14233
23	338	13761
24	342	13349
25	346	12988
26	350	12622
27	353	12273
28	357	11954
29	360	11661
30	364	11407
31	368	11140
32	371	10889
33	375	10670
34	378	10448
35	382	10231
36	385	10026
37	388	9824
38	395	9749
39	400	9604
40	403	9435
41	407	9295
42	413	9213
43	417	9065
44	423	8979
45	427	8856
46	433	8787
47	439	8710
48	443	8607
49	460	8754
50	463	8630
51	466	8513
52	470	8405
53	473	8299
54	476	8191
55	480	8098
56	483	8000
57	486	7907
58	490	7817
59	493	7731
60	496	7645
61	499	7559
62	502	7476
63	506	7400
64	509	7327
65	512	7254
66	515	7182
67	519	7114
68	522	7047
69	525	6982
70	528	6919
71	532	6857
72	535	6796
73	538	6736
74	541	6683
75	545	6627
76	548	6576
77	552	6530
78	555	6478
79	558	6425
80	561	6375
81	565	6326
82	568	6280
83	571	6233
84	575	6190
85	578	6144
86	581	6103
87	584	6060
88	587	6013
89	590	5971
90	593	5928
91	596	5883
92	599	5845
93	602	5804
94	605	5765
95	608	5725
96	611	5694
97	614	5660
98	618	5627
99	621	5592
100	626	5578
101	629	5545
102	633	5515
103	636	5485
104	640	5455
105	643	5429
106	647	5400
107	650	5369
108	653	5341
109	656	5313
110	660	5286
111	663	5257
112	666	5231
113	670	5211
114	674	5190
115	677	5166
116	681	5141
117	684	5117
118	687	5091
119	691	5069
120	694	5045
121	697	5022
122	701	4998
123	704	4976
124	707	4953
125	710	4929
126	714	4908
127	717	4886
128	720	4865
129	723	4843
130	727	4822
131	730	4804
132	733	4784
133	737	4765
134	740	4743
135	743	4724
136	747	4705
137	750	4685
138	753	4666
139	756	4648
140	760	4630
141	763	4613
142	766	4594
143	769	4577
144	773	4559
145	776	4542
146	780	4526
147	783	4508
148	786	4493
149	790	4477
150	793	4460
151	796	4444
152	800	4429
153	803	4412
154	806	4397
155	809	4380
156	812	4362
157	815	4348
158	819	4333
159	822	4317
160	825	4302
161	828	4285
162	831	4269
163	834	4254
164	837	4238
165	843	4238
166	847	4227
167	851	4216
168	854	4203
169	858	4190
170	861	4178
171	865	4167
172	868	4153
173	871	4139
174	875	4125
175	877	4110
176	881	4098
177	884	4085
178	887	4071
179	892	4066
180	896	4057
181	900	4046
182	903	4033
183	906	4021
184	910	4009
185	913	3998
186	916	3985
187	920	3974
188	924	3965
189	928	3957
190	931	3946
191	934	3934
192	938	3923
193	942	3914
194	945	3903
195	948	3892
196	952	3881
197	954	3867
198	958	3856
199	961	3845
200	964	3835
201	968	3825
202	972	3817
203	976	3808
204	979	3798
205	983	3788
206	986	3778
207	989	3769
208	993	3760
209	997	3751
210	1000	3740
211	1003	3731
212	1008	3725
213	1011	3714
214	1015	3707
215	1019	3700
216	1023	3692
217	1027	3685
218	1030	3675
219	1032	3658
220	1035	3650
221	1039	3641
222	1042	3632
223	1047	3629
224	1052	3624
225	1056	3617
226	1059	3608
227	1063	3599
228	1067	3595
229	1072	3590
230	1077	3585
231	1080	3576
232	1084	3568
233	1087	3559
234	1091	3553
235	1094	3544
236	1098	3535
237	1101	3528
238	1105	3518
239	1108	3509
240	1112	3503
241	1116	3495
242	1119	3486
243	1122	3478
244	1125	3468
245	1129	3460
246	1132	3452
247	1135	3443
248	1138	3434
249	1141	3425
250	1146	3421
251	1149	3412
252	1153	3404
253	1156	3397
254	1160	3389
255	1163	3381
256	1166	3372
257	1169	3363
258	1172	3355
259	1176	3347
260	1179	3339
261	1183	3334
262	1186	3325
263	1190	3319
264	1194	3311
265	1197	3303
266	1200	3295
267	1203	3287
268	1206	3278
269	1209	3271
270	1212	3262
271	1216	3255
272	1220	3250
273	1225	3246
274	1228	3238
275	1231	3231
276	1234	3223
277	1238	3217
278	1243	3214
279	1248	3209
280	1252	3203
281	1256	3198
282	1261	3197
283	1265	3189
284	1268	3181
285	1271	3174
286	1274	3166
287	1277	3159
288	1281	3152
289	1285	3146
290	1289	3140
291	1292	3133
292	1295	3125
293	1298	3117
